steps, temperature, pressure, energy, Q6
2401  0.457592  0.375157  -268.632650  0.102111
2451  0.503744  -0.100427  -270.863048  0.088983
2501  0.464673  1.005650  -271.928542  0.137517
2551  0.439611  -0.469730  -277.685261  0.151018
2601  0.457854  -1.337949  -271.116736  0.120169
2651  0.521074  1.170940  -272.081346  0.118530
2701  0.466191  1.419611  -278.056819  0.128472
2751  0.485973  0.385257  -276.929580  0.115611
2801  0.531302  0.869997  -268.148237  0.141130
2851  0.482155  0.090978  -263.052418  0.157582
2901  0.549182  -0.920746  -269.023509  0.153129
2951  0.555833  2.078020  -262.324795  0.167884
3001  0.492206  -1.995344  -272.865438  0.121341
3051  0.454783  0.365781  -274.882790  0.125074
3101  0.443095  1.765615  -279.523071  0.148090
3151  0.432117  -0.263456  -285.279303  0.152698
3201  0.452439  0.427083  -282.114931  0.166588
3251  0.558470  -0.263609  -263.892691  0.196234
3301  0.582908  0.231252  -263.066433  0.157413
3351  0.530918  0.433597  -264.016200  0.167164
3401  0.547455  0.834096  -269.970494  0.177716
3451  0.495027  1.318619  -267.546085  0.155953
3501  0.554794  -1.239200  -274.576155  0.166942
3551  0.392711  1.194411  -290.004839  0.165863
3601  0.382291  -0.187054  -292.304444  0.165421
3651  0.459889  0.752438  -283.334917  0.172456
3701  0.431970  -0.744110  -280.392089  0.194567
3751  0.421523  0.619970  -284.586853  0.222897
3801  0.458238  -0.005065  -278.049349  0.211077
3851  0.389062  0.661008  -282.818938  0.214127
3901  0.446819  -0.357927  -280.563056  0.198797
3951  0.491312  1.234218  -281.355626  0.233599
4001  0.412943  0.041799  -281.357687  0.216622
4051  0.438713  0.279549  -278.961146  0.209791
4101  0.429997  -1.195489  -274.787654  0.202027
4151  0.513821  1.307275  -273.418524  0.221766
4201  0.493141  1.639614  -269.758707  0.223593
4251  0.447163  1.612482  -270.268091  0.246131
4301  0.453606  4.028191  -270.318685  0.245804
4351  0.412534  -1.225758  -273.593229  0.185196
4401  0.478210  0.523511  -272.389006  0.204998
4451  0.499249  0.678479  -268.505777  0.253926
4501  0.491653  -0.142641  -270.401430  0.250916
4551  0.519768  2.273000  -270.236128  0.206431
4601  0.438552  -0.967896  -275.272101  0.212572
4651  0.437218  -0.439810  -276.855011  0.241918
4701  0.474660  0.708104  -270.504016  0.210399
4751  0.539916  1.096232  -270.071629  0.190873
4801  0.502500  0.439491  -271.571777  0.185023
4851  0.501981  -2.110049  -268.925126  0.194055
4901  0.557987  0.012456  -268.225879  0.200623
4951  0.504354  2.646981  -268.156456  0.199421
steps, temperature, pressure, energy, Q6

1  0.497804  0.517921  -1736.941029  0.353551
steps, temperature, pressure, energy, Q6

1  0.493930  0.538182  -105.880600  0.000000
51  1.039790  2.666709  -114.369270  0.000000
101  1.052264  0.477655  -143.306623  0.000000
steps, temperature, pressure, energy, Q6

1  0.529062  0.594156  -102.414450  0.353533
51  1.253842  3.211313  -108.989956  0.171345
101  1.153017  -0.683762  -135.233513  0.086425
151  1.010189  1.881544  -166.971443  0.140895
201  0.892645  6.244630  -185.345405  0.128218
251  0.807091  -0.556376  -186.496206  0.132767
301  0.796993  2.058154  -196.074127  0.108163
351  0.735370  -1.824707  -207.700634  0.120163
401  0.707224  0.442167  -231.828623  0.109378
451  0.641614  1.631698  -235.258477  0.092209
501  0.681377  0.379682  -241.541346  0.085943
551  0.616112  0.601478  -247.447271  0.083246
601  0.561921  0.961235  -250.383434  0.083027
651  0.564856  0.121126  -249.744997  0.102456
steps, temperature, pressure, energy, Q6

1  0.553965  0.540276  -100.111753  0.353541
51  1.010576  3.593085  -112.299108  0.184554
101  1.113198  2.393939  -138.942164  0.117135
151  1.010178  3.460960  -172.751428  0.115562
201  0.898264  2.020586  -186.450374  0.122557
251  0.719702  0.681313  -192.734582  0.076467
301  0.796341  0.181553  -202.576875  0.092452
351  0.831292  3.905847  -200.859704  0.110435
401  0.802662  0.839716  -210.374994  0.137375
451  0.731242  0.857022  -221.854911  0.130428
501  0.613140  0.836724  -232.981430  0.136218
551  0.594376  -1.682650  -233.759114  0.139501
601  0.579242  0.542420  -240.893506  0.134330
651  0.655886  0.654988  -235.813736  0.111637
701  0.585126  -0.101840  -246.599369  0.107275
751  0.600567  -0.366760  -245.004330  0.106090
801  0.639537  0.924939  -247.799287  0.129642
851  0.598328  -1.965777  -248.515302  0.148368
901  0.563114  0.691391  -249.532501  0.177283
951  0.606133  -0.601022  -251.095589  0.198148
1001  0.562538  2.316300  -261.379694  0.188795
1051  0.566315  2.706776  -261.531622  0.226391
1101  0.587451  -0.948763  -263.168219  0.269301
1151  0.541826  1.142083  -264.811187  0.237435
1201  0.560066  0.214724  -272.080460  0.308000
1251  0.602383  1.945491  -278.615108  0.388190
1301  0.638408  0.883631  -283.163803  0.422943
1351  0.576967  0.474463  -285.422039  0.426059
1401  0.567327  0.871375  -285.668071  0.420294
1451  0.554838  2.557269  -288.247284  0.421212
1501  0.499653  0.613594  -288.271278  0.414775
1551  0.454293  1.974047  -297.333982  0.440608
1601  0.465860  -0.647171  -300.091951  0.408483
1651  0.414887  1.816300  -300.433575  0.399199
1701  0.500251  0.735692  -294.655025  0.411855
1751  0.504602  2.801135  -298.980202  0.428437
1801  0.553957  0.645471  -288.880487  0.449027
1851  0.632193  -0.126886  -292.733912  0.439729
1901  0.586846  1.265644  -289.054950  0.428086
1951  0.560786  2.343165  -284.829286  0.421471
2001  0.578270  2.056820  -284.572227  0.423258
2051  0.547190  1.486584  -292.625321  0.427385
2101  0.516471  1.548489  -298.485542  0.428451
2151  0.489176  1.214728  -295.863911  0.428350
2201  0.443577  -0.515185  -300.064670  0.424700
2251  0.472842  2.980704  -306.279112  0.448218
2301  0.445535  1.477939  -305.776542  0.442726
2351  0.430596  0.585815  -306.567680  0.433195
2401  0.563334  0.408823  -295.523309  0.429667
2451  0.527141  1.950851  -295.194406  0.417801
2501  0.483863  1.497346  -293.351054  0.423019
2551  0.553965  0.939688  -290.766692  0.432227
2601  0.400502  1.623678  -292.117264  0.398548
2651  0.608959  -0.616986  -287.298958  0.439723
2701  0.590741  2.389560  -285.649294  0.425978
2751  0.583304  0.912510  -282.650491  0.434960
2801  0.581567  0.571601  -283.390759  0.425444
2851  0.574979  1.177630  -284.892615  0.429328
2901  0.555331  1.219154  -284.583653  0.416426
2951  0.584890  1.867775  -286.717033  0.432360
3001  0.573155  0.213989  -287.522863  0.409281
3051  0.520817  1.364763  -291.192408  0.419083
3101  0.518193  -0.548215  -290.611427  0.422018
3151  0.542732  -0.059565  -294.217086  0.430463
3201  0.552756  -0.053277  -292.328963  0.428411
3251  0.509759  -1.807467  -289.070992  0.408454
3301  0.560442  -0.823632  -292.469497  0.430107
3351  0.525268  -0.858790  -291.661344  0.413515
3401  0.573935  -0.393986  -289.118416  0.442937
3451  0.506163  0.503394  -294.274092  0.426615
3501  0.491633  2.133015  -299.495464  0.447489
3551  0.493841  2.291261  -292.569564  0.423485
3601  0.543482  0.544169  -286.432632  0.419289
3651  0.505412  2.438683  -286.607777  0.413511
3701  0.569032  0.539076  -286.505211  0.410584
3751  0.576645  1.711885  -287.500403  0.419038
3801  0.576060  0.830722  -288.352407  0.417817
3851  0.606085  2.499040  -277.979908  0.414344
3901  0.495403  -1.142006  -286.972114  0.403862
3951  0.541356  -0.134562  -289.786958  0.411395
4001  0.518337  0.460057  -292.408712  0.410147
4051  0.550514  0.300750  -291.071928  0.425488
4101  0.566992  0.161863  -295.039590  0.431237
4151  0.609985  0.185726  -290.830183  0.442960
4201  0.566677  1.399145  -291.392987  0.414211
4251  0.549702  1.450136  -288.572885  0.429776
4301  0.610461  -0.097472  -284.695308  0.432147
4351  0.680391  0.131848  -277.400374  0.430122
4401  0.596247  1.780809  -276.220788  0.422840
4451  0.594735  0.465770  -280.520735  0.434651
4501  0.525191  2.152157  -286.157982  0.416041
4551  0.557662  0.760270  -285.383662  0.420160
4601  0.585587  0.319957  -286.740196  0.425143
4651  0.653893  -1.409100  -282.219015  0.425461
4701  0.659515  0.784052  -279.804203  0.423195
4751  0.550541  2.395988  -288.071978  0.404273
4801  0.557303  2.459014  -280.971050  0.415521
4851  0.604893  -1.127372  -276.968109  0.421689
4901  0.550752  0.531376  -282.493223  0.427843
4951  0.600683  0.634542  -281.295633  0.427836
steps, temperature, pressure, energy, Q6

1  0.542332  0.568600  -101.232637  0.353538
